"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Starters","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"DeMar DeRozan","TOR","24:02","8","15","0","0","0","0","1","4","5","6","2","0","4","0","16",".533","",""
"Giannis Antetokounmpo","MIL","22:53","14","17","0","1","2","2","3","3","6","1","3","1","0","0","30",".824",".000","1.000"
"Kyrie Irving","CLE","21:52","8","12","6","8","0","0","2","5","7","14","3","0","2","1","22",".667",".750",""
"LeBron James","CLE","19:29","10","17","3","8","0","0","0","3","3","1","0","0","4","2","23",".588",".375",""
"Jimmy Butler","CHI","19:29","3","4","0","1","0","0","0","3","3","2","1","0","1","0","6",".750",".000",""
"","","Totals","","","","","","","","","","","","","","","","Shooting","",""
"Reserves","Tm","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%"
"Paul George","IND","22:05","6","16","0","7","0","0","0","5","5","3","0","0","0","0","12",".375",".000",""
"John Wall","WAS","20:58","6","12","0","2","0","0","1","5","6","4","4","0","3","1","12",".500",".000",""
"Kemba Walker","CHO","20:15","3","6","1","4","0","0","1","2","3","6","1","0","0","0","7",".500",".250",""
"Carmelo Anthony","NYK","19:00","4","8","2","6","0","0","0","3","3","0","0","0","0","0","10",".500",".333",""
"Isaiah Thomas","BOS","18:48","7","15","4","10","2","2","1","0","1","3","0","0","2","0","20",".467",".400","1.000"
"Kyle Lowry","TOR","17:43","7","11","5","9","0","0","1","2","3","0","2","0","3","1","19",".636",".556",""
"Paul Millsap","ATL","13:26","2","4","1","3","0","0","0","5","5","3","1","0","0","0","5",".500",".333",""
"Team Totals","","240","78","137","22","59","4","4","10","40","50","43","17","1","19","5","182",".569",".373","1.000"
